measure,portname,n_overlap_days,n_changed_rows,pct_changed_rows,mean_july,mean_august,mean_ratio_august_over_july,mean_difference_august_minus_july
capacity_roro,Kerch Strait,2750,0,0.0,305.5378181818182,305.5378181818182,1.0,0.0
capacity_roro,Lombok Strait,2750,0,0.0,349.5374545454545,349.5374545454545,1.0,0.0
capacity_roro,Makassar Strait,2750,0,0.0,186.95127272727274,186.95127272727274,1.0,0.0
capacity_roro,Mindoro Strait,2750,0,0.0,173.13236363636364,173.13236363636364,1.0,0.0
capacity_roro,Mona Passage,2750,0,0.0,1414.8192727272726,1414.8192727272726,1.0,0.0
capacity_roro,Ombai Strait,2750,0,0.0,278.1490909090909,278.1490909090909,1.0,0.0
capacity_roro,Panama Canal,2750,0,0.0,8707.524,8707.524,1.0,0.0
capacity_roro,Suez Canal,2750,0,0.0,8043.164,8043.164,1.0,0.0
capacity_roro,Sunda Strait,2750,0,0.0,1526.982909090909,1526.982909090909,1.0,0.0
capacity_roro,Torres Strait,2750,0,0.0,580.3196363636364,580.3196363636364,1.0,0.0
capacity_roro,Windward Passage,2750,0,0.0,4998.098181818182,4998.098181818182,1.0,0.0
capacity_roro,Yucatan Channel,2750,0,0.0,2190.0694545454544,2190.0694545454544,1.0,0.0
capacity_tanker,Strait of Hormuz,2750,2568,93.38181818181818,2419704.380727273,2056740.2810909091,0.8499965109261528,-362964.0996363638
capacity_tanker,Taiwan Strait,2750,18,0.6545454545454545,849378.0021818181,849249.9010909091,0.9998491824716675,-128.10109090898186
capacity_tanker,Malacca Strait,2750,16,0.5818181818181818,3182193.3516363637,3182002.714181818,0.9999400924351604,-190.63745454559103
capacity_tanker,Dover Strait,2750,11,0.4,1304806.284,1304806.28,0.9999999969344109,-0.003999999957159162
capacity_tanker,Gibraltar Strait,2750,11,0.4,1240315.0978181819,1240306.626909091,0.9999931703571892,-8.470909090945497
capacity_tanker,Korea Strait,2750,11,0.4,806549.6029090909,806489.7934545454,0.9999258452867253,-59.8094545454951
capacity_tanker,Bohai Strait,2750,8,0.2909090909090909,674557.908,674501.7236363636,0.999916709354423,-56.18436363642104
capacity_tanker,Bosporus Strait,2750,8,0.2909090909090909,462307.1778181818,462306.824,0.9999992346686386,-0.35381818178575486
capacity_tanker,Luzon Strait,2750,8,0.2909090909090909,1553149.910909091,1553049.052,0.9999350617037142,-100.85890909098089
capacity_tanker,Cape of Good Hope,2750,7,0.2545454545454546,927313.9781818182,927289.3403636364,0.9999734309858781,-24.637818181770854
capacity_tanker,Yucatan Channel,2750,7,0.2545454545454546,683739.328,683739.3254545454,0.9999999962771564,-0.002545454539358616
capacity_tanker,Bab el-Mandeb Strait,2750,6,0.2181818181818182,834058.7610909091,834058.7589090909,0.9999999973840953,-0.0021818182431161404
capacity_tanker,Sunda Strait,2750,6,0.2181818181818182,268044.9618181818,268035.3109090909,0.9999639951856382,-9.650909090880305
capacity_tanker,Panama Canal,2750,5,0.18181818181818182,315462.61127272726,315394.3949090909,0.9997837576904561,-68.21636363636935
capacity_tanker,Kerch Strait,2750,4,0.14545454545454545,23470.934545454544,23439.68,0.9986683723481903,-31.254545454543404
capacity_tanker,Suez Canal,2750,4,0.14545454545454545,814267.8174545454,814319.5876363637,1.0000635788136392,51.77018181828316
capacity_tanker,Tsugaru Strait,2750,2,0.07272727272727272,133274.98727272727,133274.15563636363,0.9999937599966756,-0.8316363636404276
capacity_tanker,Lombok Strait,2750,1,0.03636363636363636,143022.37854545456,143018.2429090909,0.9999710839911509,-4.135636363644153
capacity_tanker,Mindoro Strait,2750,1,0.03636363636363636,52641.91963636364,52641.595636363636,0.9999938452092507,-0.32400000000052387
capacity_tanker,Mona Passage,2750,1,0.03636363636363636,63915.90690909091,63912.81490909091,0.9999516239360509,-3.092000000004191
capacity_tanker,Torres Strait,2750,1,0.03636363636363636,35513.65418181818,35513.65381818182,0.9999999897606605,-0.00036363636172609404
capacity_tanker,Windward Passage,2750,1,0.03636363636363636,42124.976727272726,42124.976363636364,0.999999991367678,-0.00036363636172609404
capacity_tanker,Balabac Strait,2750,0,0.0,35270.545454545456,35270.545454545456,1.0,0.0
capacity_tanker,Bering Strait,2750,0,0.0,5445.593454545455,5445.593454545455,1.0,0.0
capacity_tanker,Magellan Strait,2750,0,0.0,33797.490545454544,33797.490545454544,1.0,0.0
capacity_tanker,Makassar Strait,2750,0,0.0,66522.148,66522.148,1.0,0.0
capacity_tanker,Ombai Strait,2750,0,0.0,70407.74254545454,70407.74254545454,1.0,0.0
capacity_tanker,Oresund Strait,2750,0,0.0,29495.25709090909,29495.25709090909,1.0,0.0
n_cargo,Strait of Hormuz,2750,2706,98.4,34.84,28.7,0.8237657864523535,-6.140000000000004
n_cargo,Korea Strait,2750,7,0.2545454545454546,163.16181818181818,163.13418181818182,0.9998306199088468,-0.02763636363636124
n_cargo,Malacca Strait,2750,5,0.18181818181818182,122.81418181818182,122.79636363636364,0.9998549175546798,-0.017818181818185508
n_cargo,Bohai Strait,2750,4,0.14545454545454545,139.572,139.5621818181818,0.9999296550753862,-0.009818181818189942
