date,fold,step,y_true,y_pred,sigma,lower,upper,model
2024-11-15,fold_23,25,2166475.0,2928778.106965427,857048.7418922934,1248993.4398611665,4608562.7740696855,ar_lag1_7
2024-11-16,fold_23,26,2349989.0,2914697.979537995,637392.632144755,1665431.376523088,4163964.5825529015,ar_lag1_7
2024-11-17,fold_23,27,1839233.0,2871392.306865772,788888.5713588577,1325199.1191871543,4417585.494544389,ar_lag1_7
2024-11-18,fold_23,28,4152048.0,2831440.820188989,588902.1340236043,1677213.8470839441,3985667.793294033,ar_lag1_7
2024-11-19,fold_23,29,1849160.0,2824957.1335528614,758550.5531469763,1338225.3689318513,4311688.8981738705,ar_lag1_7
2024-11-20,fold_23,30,3952791.0,2856789.880821267,541622.1981051263,1795229.8793078011,3918349.8823347325,ar_lag1_7
2024-11-21,fold_24,1,2738499.0,2817247.750425372,657493.0254204866,1528585.1005149395,4105910.400335803,ar_lag1_7
2024-11-22,fold_24,2,2008568.0,2884533.128055561,638295.8834710005,1633496.1849722245,4135570.0711388965,ar_lag1_7
2024-11-23,fold_24,3,1104004.0,2879630.6810565316,567021.6171009248,1768288.733083058,3990972.6290300046,ar_lag1_7
2024-11-24,fold_24,4,1696716.0,2806890.870160288,798734.8671596374,1241399.2973310142,4372382.442989562,ar_lag1_7
2024-11-25,fold_24,5,2775574.0,2907796.4089916446,752050.047365025,1433805.4015845535,4381787.416398735,ar_lag1_7
2024-11-26,fold_24,6,3035716.0,2751917.228351177,638537.3936727998,1500406.933970415,4003427.5227319384,ar_lag1_7
2024-11-27,fold_24,7,3543280.0,2919200.790482048,586006.4052262873,1770649.34152874,4067752.239435355,ar_lag1_7
2024-11-28,fold_24,8,1657436.0,2885631.1330156177,662841.3021400905,1586486.053355408,4184776.2126758266,ar_lag1_7
2024-11-29,fold_24,9,1700516.0,2921902.9229225335,708499.6632792475,1533269.0998364526,4310536.746008613,ar_lag1_7
