date,target,unit,corridor,portname,basin_group,value,is_pre_cutoff,eligible_for_admission
2022-05-08,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1479345.0,True,True
2022-05-09,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,636245.0,True,True
2022-05-10,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,704801.0,True,True
2022-05-11,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1244677.0,True,True
2022-05-12,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1233720.0,True,True
2022-05-13,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1006978.0,True,True
2022-05-14,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,558339.0,True,True
2022-05-15,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,758684.0,True,True
2022-05-16,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,993694.0,True,True
2022-05-17,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1051396.0,True,True
2022-05-18,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,561836.0,True,True
2022-05-19,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1368448.0,True,True
2022-05-20,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1220365.0,True,True
2022-05-21,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1101436.0,True,True
2022-05-22,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1286765.0,True,True
2022-05-23,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,900958.0,True,True
2022-05-24,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,898141.0,True,True
2022-05-25,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1563952.0,True,True
2022-05-26,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1058770.0,True,True
2022-05-27,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1351845.0,True,True
2022-05-28,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,698434.0,True,True
2022-05-29,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,610754.0,True,True
2022-05-30,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1433622.0,True,True
2022-05-31,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,1537386.0,True,True
2022-06-01,capacity_tanker,daily_tanker_deadweight_capacity,bab_el_mandeb_strait,Bab el-Mandeb Strait,red_sea_arabian_gulf,827252.0,True,True
