terminal_pair,support_status,pre_sequences,post_sequences,pre_share,post_share,pre_mean_burden,post_mean_burden,terminal_radius_km,cohort
T100000130214 -> T100000130312,post_only_entry,0,1,0.0,0.0013774104683195593,,1757884659.4996774,30,all_retained
T100000130214 -> T100000130321,post_only_entry,0,2,0.0,0.0027548209366391185,,2123535579.776559,30,all_retained
T100000130214 -> T100000130427,post_only_entry,0,1,0.0,0.0013774104683195593,,1660925363.0974116,30,all_retained
T100000130214 -> T100000130458,post_only_entry,0,1,0.0,0.0013774104683195593,,912544365.4338276,30,all_retained
T100000130214 -> T100000130462,post_only_entry,0,1,0.0,0.0013774104683195593,,1106221615.8948796,30,all_retained
T100000130214 -> T100000130481,post_only_entry,0,1,0.0,0.0013774104683195593,,1704843355.984936,30,all_retained
T100000130214 -> T100000130498,post_only_entry,0,1,0.0,0.0013774104683195593,,932436787.2460208,30,all_retained
T100000130214 -> T100000130500,post_only_entry,0,1,0.0,0.0013774104683195593,,777710056.6192256,30,all_retained
T100000130214 -> T100000130503,post_only_entry,0,1,0.0,0.0013774104683195593,,1650786950.264686,30,all_retained
T100000130214 -> T100000130526,post_only_entry,0,1,0.0,0.0013774104683195593,,863950282.3320432,30,all_retained
T100000130214 -> T100000130560,post_only_entry,0,1,0.0,0.0013774104683195593,,730440788.3929144,30,all_retained
T100000130214 -> T100000130926,post_only_entry,0,1,0.0,0.0013774104683195593,,583508306.151474,30,all_retained
T100000130214 -> T100000131064,post_only_entry,0,1,0.0,0.0013774104683195593,,1000401032.362904,30,all_retained
T100000130214 -> T100000131141,post_only_entry,0,1,0.0,0.0013774104683195593,,930830394.3455732,30,all_retained
T100000130216 -> T100000130272,post_only_entry,0,1,0.0,0.0013774104683195593,,2008764823.7679176,30,all_retained
T100000130216 -> T100000130314,post_only_entry,0,1,0.0,0.0013774104683195593,,1692150704.8877623,30,all_retained
T100000130216 -> T100000130427,post_only_entry,0,1,0.0,0.0013774104683195593,,1980054152.3169043,30,all_retained
T100000130216 -> T100000130458,post_only_entry,0,2,0.0,0.0027548209366391185,,935575882.7740417,30,all_retained
T100000130216 -> T100000130466,post_only_entry,0,1,0.0,0.0013774104683195593,,1135550020.0991514,30,all_retained
T100000130216 -> T100000130524,post_only_entry,0,1,0.0,0.0013774104683195593,,869735055.2053694,30,all_retained
T100000130216 -> T100000130557,post_only_entry,0,3,0.0,0.004132231404958678,,857898633.3410912,30,all_retained
T100000130216 -> T100000130560,post_only_entry,0,1,0.0,0.0013774104683195593,,742538928.6512344,30,all_retained
T100000130216 -> T100000130575,post_only_entry,0,1,0.0,0.0013774104683195593,,253641808.216994,30,all_retained
T100000130216 -> T100000130618,post_only_entry,0,1,0.0,0.0013774104683195593,,1378540355.023783,30,all_retained
T100000130216 -> T100000130662,post_only_entry,0,1,0.0,0.0013774104683195593,,1897074230.4191096,30,all_retained
T100000130216 -> T100000130685,post_only_entry,0,2,0.0,0.0027548209366391185,,1195145851.4503152,30,all_retained
T100000130217 -> T100000130536,post_only_entry,0,2,0.0,0.0027548209366391185,,597653742.415139,30,all_retained
T100000130217 -> T100000130685,post_only_entry,0,2,0.0,0.0027548209366391185,,969308029.294804,30,all_retained
T100000130221 -> T100000130462,post_only_entry,0,2,0.0,0.0027548209366391185,,884627706.0593913,30,all_retained
