model,league,panel,fold,horizon,origin,portname,vessel_class,mask_group,diagnostics,mae,rmse,mase,horizon_bias_mase,cumulative_bias,relative_cumulative_bias,n_days
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Lombok Strait,n_dry_bulk,3,,5.624034046420895,6.626576477154808,1.0459638658859018,-0.6655553211256396,-107.3585591587397,-0.12325896573908117,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Lombok Strait,n_general_cargo,3,,1.5666666666666667,1.9407902170679516,1.1551386071670047,0.2211967545638945,9.0,0.24324324324324326,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Lombok Strait,n_general_cargo,3,,1.0139306385288487,1.231860863121144,0.7475938886515954,0.2778281140336852,11.304203044176628,0.3055190011939629,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Lombok Strait,n_roro,3,,0.13333333333333333,0.3651483716701107,0.3038662486938349,-0.3038662486938349,-4.0,-1.0,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Lombok Strait,n_roro,3,,0.3514097625402106,0.3808686409352114,0.8008617472311382,0.36177881105368553,4.762342808505875,1.1905857021264687,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Lombok Strait,n_tanker,3,,2.3,2.869378562220979,0.8093417231364955,0.12902549209422393,11.0,0.05945945945945946,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Lombok Strait,n_tanker,3,,1.714953073129311,2.087257601633593,0.6034709023063936,0.27053700421339466,23.064489024960388,0.12467291364843452,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Luzon Strait,n_container,4,,3.3,4.02077936060494,1.1372837165205023,0.40207000079007665,35.0,0.14583333333333334,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Luzon Strait,n_container,4,,2.9072898672751095,3.572338583114495,1.0019434621991015,-0.5923337683923244,-51.56236937098797,-0.2148432057124499,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Luzon Strait,n_dry_bulk,4,,6.7,8.59263250310016,0.7446720684910564,-0.11484992101105847,-31.0,-0.026405451448040886,30
